ASL,MMG,DATA_INIZIO,DATA_FINE,MOT_FINE,GRUPPO_A,GRUPPO_B,GRUPPO_C,GRUPPO_D,DISTRETTO
030302,00296,2002-01-01,2012-09-23,Cessazione medico,A,,,,004
030302,00449,2002-01-01,2011-12-28,cessazione f.a.,A,,,,010
030302,00449,2011-12-29,,,R,,,,010
030302,00451,2001-12-20,2012-02-09,cessazione f.a.,A,,,,010
030302,00451,2012-02-10,,,R,,,,010
030302,00453,1999-05-01,,,G,,,,009
030302,00723,2007-09-15,,,R,,,,006
030302,01007,2005-08-01,,,G,,,,002
030302,01122,2006-12-27,,,R,,,,007
030302,01199,2004-02-16,,,G,,,,009
030302,01271,2003-08-22,2012-12-30,cessazione f.a.,A,,,,010
030302,01271,2012-12-31,,,G,,,,010
030302,01323,2007-11-30,2010-12-31,cessazione f.a.,R,,,,002
030302,01323,2011-01-01,,,G,,,,002
030302,01470,2006-12-29,,,R,,,,001
030302,01478,2007-09-15,,,R,,,,006
030302,01541,2007-04-18,,,R,,,,001
030302,01554,2002-02-01,,,G,,,,011
030302,01556,1999-04-01,,,G,,,,009
030302,01626,2007-10-01,,,R,,,,003
030302,01636,2004-10-01,2012-04-14,cessazione f.a.,A,,,,003
030302,01636,2012-04-15,,,R,,,,003
030302,01693,1999-04-01,,,G,,,,009
030302,01709,2005-02-18,,,G,,,,005
030302,01731,2002-01-01,2012-12-31,cessazione f.a.,A,,,,004
030302,01731,2013-01-01,,,R,,,,004
030302,01849,2003-08-22,2012-12-30,cessazione f.a.,A,,,,010
030302,01849,2012-12-31,,,G,,,,010
030302,01915,2005-03-14,,,G,,,,012
030302,02233,2010-10-29,,,G,,,,011
030302,02396,2002-07-11,2008-12-31,cessazione f.a.,A,,,,008
030302,02396,2009-01-01,,,R,,,,008
030302,02402,2007-10-01,,,R,,,,003
030302,02761,2005-05-03,,,G,,,,009
030302,02769,2007-11-30,2010-12-31,cessazione f.a.,R,,,,002
030302,02769,2011-01-01,,,G,,,,002
030302,02914,2007-07-01,,,R,,,,008
030302,03142,2002-01-30,2012-12-31,cessazione f.a.,A,,,,011
030302,03142,2013-01-01,,,R,,,,011
030302,03211,2005-07-18,2010-06-30,cessazione f.a.,A,,,,006
030302,03211,2010-07-01,,,R,,,,006
030302,03297,2006-01-01,,,R,,,,006
030302,03722,2010-10-29,,,G,,,,011
030302,03759,2003-08-22,2012-12-30,cessazione f.a.,A,,,,010
030302,03759,2012-12-31,,,G,,,,010
030302,03950,2007-10-15,2012-12-01,Cessazione medico,R,,,,001
030302,03992,2002-02-01,2010-02-28,cessazione f.a.,A,,,,011
030302,03992,2010-03-01,2012-12-21,Cessazione medico,R,,,,011
030302,04140,2007-07-16,,,G,,,,007
030302,04498,2010-02-01,,,G,,,,004
030302,04512,2008-12-31,,,G,,,,009
030302,04616,2006-12-29,,,R,,,,001
030302,04770,2002-02-01,2010-02-28,cessazione f.a.,A,,,,011
030302,04770,2010-03-01,,,R,,,,011
030302,04835,2003-08-01,2012-03-29,cessazione f.a.,A,,,,004
030302,04835,2012-03-30,,,R,,,,004
030302,04905,2000-02-01,,,G,,,,003
030302,05047,2010-05-17,,,G,,,,009
030302,05210,2003-01-01,2011-03-09,cessazione f.a.,A,,,,002
030302,05210,2011-03-10,,,R,,,,002
030302,05280,2008-07-21,,,G,,,,010
030302,05304,2007-04-18,,,R,,,,001
030302,05615,2004-05-01,2009-02-01,cessazione f.a.,A,,,,003
030302,05615,2009-02-02,,,R,,,,003
030302,06324,2007-10-01,,,R,,,,003
030302,06352,1999-06-02,,,G,,,,004
030302,06406,2008-12-29,,,G,,,,008
030302,06627,2005-09-24,,,R,,,,004
030302,06675,2006-12-29,,,R,,,,001
030302,06733,2002-02-01,,,G,,,,011
030302,06735,2005-11-28,,,R,,,,001
030302,06774,2006-07-24,,,G,,,,004
030302,06847,2005-04-15,2012-12-27,cessazione f.a.,A,,,,012
030302,06847,2012-12-28,,,R,,,,012
030302,07000,2002-01-01,,,A,,,,005
030302,07121,2006-12-20,,,G,,,,010
030302,07123,2002-01-30,2012-12-31,cessazione f.a.,A,,,,011
030302,07123,2013-01-01,,,R,,,,011
030302,07434,2007-11-30,2010-12-31,cessazione f.a.,R,,,,002
030302,07434,2011-01-01,,,G,,,,002
030302,07519,1999-02-01,,,G,,,,004
030302,07816,2007-05-23,,,R,,,,004
030302,07991,2007-11-30,2010-12-31,cessazione f.a.,R,,,,002
030302,07991,2011-01-01,,,G,,,,002
030302,08320,2010-02-01,,,G,,,,004
030302,08333,2005-07-18,2010-06-30,cessazione f.a.,A,,,,006
030302,08333,2010-07-01,,,R,,,,006
030302,08778,2007-05-30,,,R,,,,001
030302,08807,2001-12-20,2012-02-09,cessazione f.a.,A,,,,010
030302,08807,2012-02-10,,,R,,,,010
030302,08982,1999-06-01,,,G,,,,001
030302,09033,1999-06-01,,,G,,,,001
030302,09112,2002-09-02,,,G,,,,003
030302,09303,2007-10-17,,,R,,,,011
030302,09357,2005-04-01,,,G,,,,001
030302,09700,1999-12-01,,,G,,,,003
030302,09811,2005-03-01,,,G,,,,002
030302,09998,1996-09-02,,,G,,,,001
030302,13159,2000-02-01,,,G,,,,003
030302,13168,2007-05-30,,,R,,,,001
030302,13180,2003-02-01,2011-03-09,cessazione f.a.,A,,,,002
030302,13180,2011-03-10,,,R,,,,002
030302,13460,2006-12-27,,,R,,,,001
030302,13548,2006-09-21,,,R,,,,006
030302,13674,2005-05-01,2012-12-31,cessazione f.a.,A,,,,004
030302,13674,2013-01-01,,,G,,,,004
030302,13707,2005-05-03,,,G,,,,009
030302,13717,1999-07-01,,,G,,,,009
030302,13737,2002-01-01,,,A,,,,005
030302,14887,2007-07-01,,,R,,,,008
030302,14890,2007-09-01,,,R,,,,008
030302,14891,2007-07-01,,,R,,,,008
030302,14892,2004-02-16,,,G,,,,009
